epoch,accuracy,loss,val_accuracy,val_loss
0,0.7873792052268982,0.819717526435852,0.8628922700881958,0.4941844344139099
1,0.8840094208717346,0.3973572552204132,0.9259830117225647,0.2523649036884308
2,0.9306610226631165,0.22899040579795837,0.943602442741394,0.19028781354427338
3,0.9459994435310364,0.17485469579696655,0.9521834254264832,0.16245025396347046
4,0.9532477259635925,0.14940713346004486,0.9546598792076111,0.15243075788021088
5,0.9575070738792419,0.13441216945648193,0.9588727951049805,0.13851380348205566
6,0.9603760242462158,0.12425444275140762,0.9603368043899536,0.1337253302335739
7,0.9624765515327454,0.11689633131027222,0.9610198736190796,0.13137900829315186
8,0.964114248752594,0.111211858689785,0.9634504914283752,0.12232428044080734
9,0.9654347896575928,0.10661143809556961,0.9632368087768555,0.12352659553289413
10,0.9665842652320862,0.10281112790107727,0.9656001329421997,0.11568903923034668
11,0.9674704074859619,0.0996859073638916,0.9659981727600098,0.11402975022792816
12,0.9682679772377014,0.09693793207406998,0.9664316177368164,0.11232530325651169
13,0.9689966440200806,0.09457985311746597,0.9668194055557251,0.11050383001565933
14,0.9696027636528015,0.09251151978969574,0.9666635990142822,0.11086775362491608
15,0.9701653718948364,0.09065031260251999,0.9673574566841125,0.10976746678352356
16,0.9706187844276428,0.0890251100063324,0.9676586389541626,0.10849271714687347
17,0.9710800647735596,0.08750427514314651,0.9683394432067871,0.10622231662273407
18,0.9714457392692566,0.08615986257791519,0.9677740931510925,0.10818808525800705
19,0.9718610048294067,0.08493368327617645,0.9681820273399353,0.10637583583593369
20,0.9721887707710266,0.08376069366931915,0.9691364765167236,0.10428832471370697
21,0.9725270867347717,0.0827207863330841,0.9690528512001038,0.10360376536846161
22,0.9728190302848816,0.0817413181066513,0.9699661731719971,0.10104390978813171
23,0.9730701446533203,0.08083710819482803,0.9673240780830383,0.11022625118494034
24,0.9733224511146545,0.07999006658792496,0.9702314138412476,0.10074568539857864
25,0.9735751152038574,0.07918505370616913,0.9704079031944275,0.10005464404821396
26,0.9737966656684875,0.07845631241798401,0.970114529132843,0.10079561918973923
27,0.9739747047424316,0.07774993777275085,0.9704897999763489,0.10012609511613846
28,0.9742119908332825,0.07709863036870956,0.9703132510185242,0.09979812055826187
29,0.9744061231613159,0.07644281536340714,0.9706966280937195,0.09893769025802612
